period,views,visitors,likes,comments,post_titles,
2014-11-13,2,2,1,0,[u'Mini-Project: Android App \u2013 Make The Number!'],
2014-11-14,1,1,0,0,[],
2014-11-15,0,0,0,0,[],
2014-11-16,0,0,0,0,[],
2014-11-17,0,0,0,0,[],
2014-11-18,2,1,0,0,[],
2014-11-19,3,3,0,0,[],
2014-11-20,0,0,0,0,[],
2014-11-21,1,1,0,0,[],
2014-11-22,2,2,0,0,[],
2014-11-23,0,0,0,0,[],
2014-11-24,0,0,0,0,[],
2014-11-25,1,1,0,0,[],
2014-11-26,3,1,0,0,[],
2014-11-27,0,0,0,0,[],
2014-11-28,0,0,0,0,[],
2014-11-29,0,0,0,0,[],
2014-11-30,0,0,0,0,[],
2014-12-01,1,1,0,0,[],
2014-12-02,0,0,0,0,[],
2014-12-03,0,0,0,0,[],
2014-12-04,0,0,0,0,[],
2014-12-05,0,0,0,0,[],
2014-12-06,0,0,0,0,[],
2014-12-07,0,0,0,0,[],
2014-12-08,0,0,0,0,[],
2014-12-09,0,0,0,0,[],
2014-12-10,8,3,0,0,[],
2014-12-11,4,2,0,0,[],
2014-12-12,0,0,0,0,[],
2014-12-13,0,0,0,0,[],
2014-12-14,0,0,0,0,[],
2014-12-15,0,0,0,0,[],
2014-12-16,0,0,0,0,[],
2014-12-17,1,1,0,0,[],
2014-12-18,0,0,0,0,[],
2014-12-19,0,0,0,0,[],
2014-12-20,0,0,0,0,[],
2014-12-21,1,1,0,0,[],
2014-12-22,0,0,0,0,[],
2014-12-23,0,0,0,0,[],
2014-12-24,0,0,0,0,[],
2014-12-25,1,1,0,0,[],
2014-12-26,2,2,0,0,[],
2014-12-27,0,0,0,0,[],
2014-12-28,0,0,0,0,[],
2014-12-29,2,2,0,0,[],
2014-12-30,3,3,0,0,[],
2014-12-31,0,0,0,0,[],
2015-01-01,0,0,0,0,[],
2015-01-02,0,0,0,0,[],
2015-01-03,0,0,0,0,[],
2015-01-04,0,0,0,0,[],
2015-01-05,1,1,0,0,[],
2015-01-06,0,0,0,0,[],
2015-01-07,1,1,0,0,[],
2015-01-08,1,1,0,0,[],
2015-01-09,6,4,0,0,[u'Project: PCB Mill CNC \u2013 In Use!'],
2015-01-10,0,0,0,0,[],
2015-01-11,0,0,0,0,[],
2015-01-12,0,0,0,0,[],
2015-01-13,0,0,0,0,[],
2015-01-14,0,0,0,0,[],
2015-01-15,1,1,0,0,[],
2015-01-16,0,0,0,0,[],
2015-01-17,2,1,0,0,[],
2015-01-18,0,0,0,0,[],
2015-01-19,0,0,0,0,[],
2015-01-20,0,0,0,0,[],
2015-01-21,0,0,0,0,[],
2015-01-22,0,0,0,0,[],
2015-01-23,0,0,0,0,[],
2015-01-24,0,0,0,0,[],
2015-01-25,0,0,0,0,[],
2015-01-26,1,1,0,0,[],
2015-01-27,0,0,0,0,[],
2015-01-28,0,0,0,0,[],
2015-01-29,2,1,0,0,[],
2015-01-30,0,0,0,0,[],
2015-01-31,3,1,0,0,[],
2015-02-01,0,0,0,0,[],
2015-02-02,0,0,0,0,[],
2015-02-03,0,0,0,0,[],
2015-02-04,0,0,0,0,[],
2015-02-05,0,0,0,0,[],
2015-02-06,0,0,0,0,[],
2015-02-07,0,0,0,0,[],
2015-02-08,0,0,0,0,[],
2015-02-09,0,0,0,0,[],
2015-02-10,2,2,0,0,[],
2015-02-11,0,0,0,0,[],
2015-02-12,0,0,0,0,[],
2015-02-13,0,0,0,0,[],
2015-02-14,0,0,0,0,[],
2015-02-15,0,0,0,0,[],
2015-02-16,0,0,0,0,[],
2015-02-17,1,1,0,0,[],
2015-02-18,1,1,0,0,[],
2015-02-19,0,0,0,0,[],
2015-02-20,0,0,0,0,[],
2015-02-21,1,1,0,0,[],
2015-02-22,0,0,0,0,[],
2015-02-23,0,0,0,0,[],
2015-02-24,2,2,0,0,[],
2015-02-25,0,0,0,0,[],
2015-02-26,6,2,0,0,[],
2015-02-27,1,1,0,0,[],
2015-02-28,0,0,0,0,[],
2015-03-01,0,0,0,0,[],
2015-03-02,10,4,2,0,[u'Project: Analogue Tape Delay \u2013 Beginnings', u'Project: Analogue Tape Delay \u2013 First Parts arrive', u'Project: Analogue Tape Delay \u2013 Measuring signals for recording'],
2015-03-03,24,4,2,0,[],
2015-03-04,9,3,0,0,[],
2015-03-05,0,0,0,0,[],
2015-03-06,7,4,0,0,[],
2015-03-07,2,1,0,0,[],
2015-03-08,3,3,0,0,[u'Project: Analogue Tape Delay \u2013 Amplifying Tape Signal'],
2015-03-09,2,2,0,0,[],
2015-03-10,14,4,0,0,[],
2015-03-11,18,8,0,0,[],
2015-03-12,6,5,0,0,[u'Project: Analogue Tape Delay \u2013 Writing to Tape'],
2015-03-13,0,0,1,0,[],
2015-03-14,0,0,0,0,[],
2015-03-15,0,0,0,0,[],
2015-03-16,1,1,0,0,[],
2015-03-17,2,1,0,0,[],
2015-03-18,0,0,0,0,[],
2015-03-19,1,1,0,0,[],
2015-03-20,2,1,1,0,[u'Project: Analogue Tape Delay \u2013 Slowly Building the Circuit'],
2015-03-21,0,0,0,0,[],
2015-03-22,0,0,0,0,[],
2015-03-23,0,0,0,0,[],
2015-03-24,0,0,0,0,[],
2015-03-25,0,0,0,0,[],
2015-03-26,0,0,0,0,[u'Project: Analogue Tape Delay \u2013 Modifying the Motor'],
2015-03-27,1,1,0,0,[],
2015-03-28,0,0,0,0,[],
2015-03-29,0,0,0,0,[],
2015-03-30,1,1,0,0,[],
2015-03-31,7,1,0,0,[],
2015-04-01,5,3,0,0,[],
2015-04-02,1,1,0,0,[],
2015-04-03,1,1,0,0,[],
2015-04-04,0,0,0,0,[],
2015-04-05,0,0,0,0,[],
2015-04-06,0,0,0,0,[],
